account_id,customer_id,account_type,balance,currency,status,opened_date
100001,8619,Current,117741.05,NGN,Active,2014-07-02
100002,5936,Savings,532825.64,NGN,Active,2024-10-28
100003,9620,Savings,105043.07,NGN,Active,2024-05-11
100004,8670,Fixed,186022.13,NGN,Active,2013-05-15
100005,1955,Fixed,142580.91,NGN,Active,2017-09-09
100006,1057,Savings,30310.94,NGN,Active,2020-06-09
100007,2641,Savings,250601.18,NGN,Active,2010-11-21
100008,2915,Savings,230700.8,NGN,Dormant,2024-12-25
100009,3532,Savings,19419.09,NGN,Closed,2014-12-05
100010,514,Savings,10756.41,NGN,Active,2024-01-29
100011,4428,Savings,98829.88,NGN,Dormant,2021-12-16
100012,9632,Savings,630113.77,NGN,Active,2011-09-12
100013,533,Savings,3237048.35,NGN,Active,2013-02-03
100014,3927,Fixed,21961.52,NGN,Active,2014-01-06
100015,2912,Savings,973020.92,NGN,Active,2013-10-20
100016,3269,Savings,584017.24,NGN,Active,2016-10-20
100017,1278,Current,85675.18,NGN,Closed,2017-09-21
100018,867,Fixed,1291744.74,NGN,Active,2011-04-05
100019,7930,Savings,271901.19,NGN,Dormant,2017-08-26
100020,5715,Current,126726.15,NGN,Active,2023-06-21
100021,6539,Fixed,22959.96,NGN,Active,2019-06-04
100022,5801,Savings,182096.61,NGN,Active,2021-04-10
100023,5144,Current,170339.44,NGN,Active,2020-07-09
100024,9899,Savings,1910134.76,NGN,Closed,2011-09-10
100025,2157,Fixed,57500.73,NGN,Active,2012-09-23
100026,9418,Savings,61408.1,NGN,Active,2011-03-22
100027,9626,Current,92805.91,NGN,Active,2022-03-18
100028,6941,Savings,3023183.63,NGN,Active,2024-01-10
100029,2050,Current,45910.59,NGN,Dormant,2016-08-13
100030,2814,Savings,686195.3,NGN,Active,2024-11-29
100031,1135,Fixed,29331.94,NGN,Active,2014-08-03
100032,7754,Current,261664.1,NGN,Dormant,2013-05-11
100033,6220,Savings,181323.01,NGN,Active,2011-07-31
100034,1977,Savings,75379.83,NGN,Active,2016-02-18
100035,9449,Current,358481.28,NGN,Closed,2011-10-25
100036,3014,Savings,67475.85,NGN,Closed,2011-05-09
100037,4984,Current,27537.83,NGN,Active,2010-06-29
100038,6495,Savings,115521.93,NGN,Dormant,2015-12-24
100039,5921,Savings,59335.4,NGN,Active,2021-06-04
100040,2370,Savings,216460.2,NGN,Active,2011-11-17
100041,207,Savings,118810.35,NGN,Dormant,2021-02-25
100042,9306,Savings,909296.9,NGN,Active,2015-09-03
100043,4161,Current,114564.98,NGN,Active,2011-03-13
100044,6560,Savings,220425.42,NGN,Dormant,2018-12-19
100045,1023,Savings,45324.15,NGN,Active,2010-04-06
100046,7766,Savings,101794.48,NGN,Active,2018-04-24
100047,2525,Current,59707.08,NGN,Dormant,2018-06-02
100048,9657,Current,599146.19,NGN,Dormant,2017-06-08
100049,8562,Savings,70733.27,NGN,Closed,2014-04-24
100050,4528,Fixed,79583.27,NGN,Closed,2023-03-08
100051,4389,Current,226096.44,NGN,Active,2020-03-06
100052,6381,Fixed,74229.81,NGN,Active,2013-06-16
100053,6789,Savings,767288.29,NGN,Active,2014-08-21
