card_id,account_id,card_type,card_status,issued_date
900001,110413,Debit,Active,2022-08-15
900002,100006,Debit,Active,2020-07-30
900003,108718,Debit,Active,2019-09-14
900004,111317,Credit,Active,2018-01-21
900005,112672,Debit,Active,2016-06-25
900006,110660,Debit,Active,2022-02-13
900007,110197,Debit,Active,2021-12-13
900008,104441,Credit,Active,2015-08-06
900009,111920,Credit,Active,2019-05-17
900010,101654,Debit,Active,2021-10-11
900011,102700,Debit,Blocked,2018-05-28
900012,112360,Debit,Active,2016-12-18
900013,102480,Debit,Active,2017-08-19
900014,105893,Credit,Blocked,2015-02-26
900015,110487,Debit,Active,2020-01-27
900016,113887,Debit,Active,2021-07-27
900017,113667,Debit,Active,2016-01-14
900018,105766,Debit,Active,2019-02-16
900019,114671,Debit,Active,2015-03-17
900020,106422,Debit,Active,2015-12-02
900021,101401,Debit,Active,2016-05-11
900022,111692,Debit,Active,2021-04-19
900023,109064,Debit,Active,2020-03-19
900024,104992,Debit,Active,2018-03-13
900025,104775,Debit,Active,2017-08-09
900026,106999,Debit,Active,2017-10-28
900027,108946,Debit,Active,2018-08-27
900028,114935,Credit,Active,2021-03-03
900029,100615,Debit,Active,2018-04-17
900030,101641,Debit,Active,2019-02-21
900031,111541,Debit,Active,2015-08-09
900032,100693,Debit,Active,2015-08-20
900033,106662,Debit,Active,2018-08-18
900034,113563,Debit,Blocked,2018-06-10
900035,112410,Debit,Active,2022-04-06
900036,109400,Debit,Active,2021-05-11
900037,110625,Debit,Active,2019-04-21
900038,103384,Debit,Blocked,2019-10-05
900039,110920,Debit,Active,2017-11-16
900040,111737,Debit,Active,2018-08-18
900041,108003,Credit,Active,2017-12-24
900042,101393,Debit,Active,2022-03-29
900043,108816,Debit,Active,2019-02-18
900044,109518,Debit,Active,2020-08-30
900045,102285,Debit,Active,2019-09-10
900046,107626,Debit,Active,2018-03-22
900047,106737,Credit,Active,2019-06-14
900048,110665,Debit,Active,2021-10-30
900049,110913,Debit,Active,2015-04-03
900050,107290,Debit,Active,2019-06-15
900051,111388,Debit,Active,2017-11-07
900052,102251,Debit,Active,2018-12-03
900053,109952,Debit,Active,2015-08-18
900054,104311,Credit,Blocked,2022-05-07
900055,105182,Debit,Active,2016-12-10
900056,113587,Debit,Active,2016-03-10
900057,107517,Debit,Active,2017-12-29
900058,105215,Debit,Active,2020-05-05
900059,101099,Debit,Active,2022-06-22
900060,105370,Debit,Active,2016-07-26
900061,107026,Debit,Active,2015-09-08
900062,112422,Credit,Blocked,2018-07-27
900063,105117,Debit,Active,2015-10-30
900064,109706,Credit,Blocked,2021-02-25
900065,106470,Credit,Active,2023-02-10
900066,100201,Debit,Active,2018-02-03
900067,111608,Credit,Active,2022-08-12
900068,113949,Debit,Active,2022-07-19
900069,103630,Debit,Active,2021-02-06
900070,111829,Debit,Blocked,2015-11-03
900071,104708,Debit,Active,2017-09-10
900072,111096,Debit,Active,2020-06-06
900073,101392,Debit,Active,2015-03-26
900074,109943,Debit,Active,2020-03-15
900075,106657,Debit,Active,2017-07-08
900076,107801,Credit,Active,2016-02-03
900077,112944,Debit,Active,2015-01-15
900078,104035,Credit,Active,2021-12-01
900079,110574,Debit,Active,2015-06-14
900080,104996,Debit,Active,2022-09-17
900081,103251,Debit,Active,2021-12-20
900082,110597,Debit,Blocked,2017-11-17
900083,111367,Debit,Active,2022-03-09
900084,103181,Debit,Active,2015-09-18
900085,102330,Debit,Active,2021-04-27
900086,103426,Debit,Active,2020-06-07
900087,104568,Debit,Active,2019-01-06
900088,108979,Debit,Active,2018-07-26
900089,112757,Debit,Active,2017-03-07
900090,106724,Debit,Active,2022-12-19
900091,112958,Debit,Active,2018-12-16
900092,105534,Debit,Blocked,2023-01-10
900093,114335,Debit,Active,2018-02-05
900094,105612,Credit,Active,2019-08-01
900095,106059,Debit,Active,2016-02-09
900096,101777,Credit,Active,2018-12-05
900097,102391,Debit,Active,2021-04-11
900098,103093,Debit,Active,2019-04-21
900099,105670,Debit,Active,2020-07-15
900100,107061,Debit,Active,2015-01-11
900101,103728,Debit,Active,2019-09-15
900102,111019,Debit,Active,2020-03-26
900103,110817,Debit,Active,2021-08-01
900104,104844,Credit,Active,2020-04-01
900105,104151,Debit,Active,2018-08-29
900106,102931,Debit,Active,2020-03-04
900107,105369,Credit,Active,2018-12-21
900108,111074,Debit,Active,2016-11-27
900109,101889,Debit,Active,2019-04-25
900110,114263,Credit,Active,2020-01-27
900111,100981,Debit,Active,2020-03-20
900112,104882,Debit,Active,2022-08-17
900113,108684,Debit,Active,2022-08-02
900114,108888,Debit,Active,2015-11-06
900115,102387,Credit,Active,2022-08-26
900116,111357,Debit,Active,2019-01-15
900117,102622,Debit,Active,2020-04-06
900118,105901,Debit,Active,2021-07-03
900119,102396,Credit,Active,2015-02-17
900120,101013,Debit,Blocked,2016-03-29
900121,100042,Debit,Active,2016-07-25
900122,112709,Credit,Active,2017-12-08
900123,108771,Debit,Active,2015-01-17
900124,111668,Credit,Active,2015-03-25
900125,100317,Debit,Active,2019-07-02
900126,112834,Debit,Active,2022-03-02
900127,111140,Debit,Active,2021-02-12
900128,110135,Debit,Active,2015-02-03
900129,105914,Debit,Active,2020-05-02
900130,107796,Debit,Active,2020-11-12
900131,108515,Debit,Active,2016-09-19
900132,104778,Debit,Active,2017-09-16
900133,108781,Credit,Active,2019-03-18
900134,107895,Credit,Active,2015-09-01
900135,104035,Debit,Active,2019-07-21
900136,101372,Debit,Active,2019-06-24
900137,103475,Debit,Active,2022-08-20
900138,112112,Debit,Active,2018-06-25
900139,104874,Debit,Active,2017-01-21
900140,113740,Debit,Active,2021-11-08
900141,102053,Debit,Active,2015-06-02
900142,103512,Debit,Active,2020-10-19
900143,104356,Credit,Active,2021-03-21
900144,107808,Debit,Active,2021-12-01
900145,112550,Debit,Active,2022-12-05
900146,105103,Debit,Blocked,2022-08-24
900147,101619,Debit,Active,2016-10-20
900148,101448,Debit,Active,2015-01-09
900149,112255,Debit,Active,2016-01-12
900150,100684,Debit,Active,2015-10-14
900151,106019,Debit,Active,2021-09-21
900152,113688,Credit,Active,2016-05-07
