loan_id,customer_id,loan_type,principal_amount,interest_rate,loan_status,start_date,end_date
700001,548,Personal,264116.15,15.92,Active,2021-11-19,2023-01-29
700002,2593,Personal,205770.38,24.58,Closed,2020-07-03,2023-01-21
700003,5787,SME,304508.02,23.97,Active,2020-09-03,2025-12-21
700004,5732,Personal,1850979.15,25.75,Defaulted,2016-06-24,2021-05-09
700005,5221,Personal,288376.35,17.96,Active,2021-01-22,2022-12-14
700006,7804,SME,200768.39,22.85,Active,2020-11-19,2022-03-25
700007,1114,Mortgage,434614.14,19.81,Active,2022-07-04,2024-12-09
700008,2150,Personal,234951.13,20.63,Defaulted,2022-05-30,2027-08-02
700009,3757,SME,221389.02,21.79,Closed,2018-06-30,2023-01-15
700010,7525,Personal,1053933.84,27.38,Defaulted,2018-10-30,2021-12-21
700011,3713,Mortgage,118156.76,20.56,Closed,2018-10-23,2021-04-08
700012,2348,SME,2368723.77,13.58,Closed,2016-02-04,2017-06-30
700013,849,Personal,2157783.23,24.58,Active,2020-07-20,2024-11-28
700014,7206,Personal,488378.53,26.52,Active,2022-07-25,2029-03-31
700015,8491,Personal,734535.0,15.73,Active,2015-09-07,2019-06-04
700016,1618,Personal,1233271.71,23.48,Active,2015-05-30,2016-08-28
700017,8744,Personal,848006.76,16.89,Active,2022-11-19,2024-03-15
700018,6887,SME,47153.43,18.76,Active,2022-03-30,2028-03-01
700019,5836,Mortgage,870150.25,16.67,Active,2022-07-02,2025-12-11
700020,4926,Personal,977251.86,23.13,Active,2016-08-23,2020-09-09
700021,5955,Personal,195721.03,14.53,Closed,2021-03-13,2022-11-06
700022,8264,Personal,188825.11,20.33,Active,2017-03-06,2020-07-06
700023,1785,Mortgage,396986.64,15.77,Active,2018-03-15,2021-11-18
700024,4439,Personal,606348.62,13.6,Active,2015-04-23,2017-10-17
700025,2830,Personal,80202.94,21.4,Active,2016-08-18,2020-12-03
700026,2689,Personal,342294.87,13.74,Closed,2019-12-31,2021-11-27
700027,655,SME,99846.86,23.99,Closed,2018-12-16,2025-06-13
700028,2136,SME,846830.88,27.94,Active,2019-05-10,2022-08-22
700029,5280,Personal,704759.87,17.47,Active,2018-09-06,2022-10-26
700030,3111,SME,432419.54,26.51,Closed,2015-07-08,2019-06-09
700031,8004,Personal,1327419.2,15.26,Active,2020-09-08,2022-04-27
700032,2348,Personal,321411.4,13.9,Active,2021-05-13,2025-10-19
700033,5814,Mortgage,594384.12,12.15,Active,2021-07-06,2023-03-12
700034,1251,Mortgage,901431.09,19.13,Active,2015-01-25,2021-08-21
700035,6450,SME,440741.24,16.96,Active,2020-10-19,2027-03-27
700036,8853,Mortgage,167461.69,17.2,Active,2018-06-10,2020-10-08
700037,7008,Personal,173535.32,18.24,Active,2018-01-04,2021-04-13
700038,76,Personal,374505.61,27.68,Active,2020-12-20,2027-03-18
700039,4136,SME,164668.16,20.3,Active,2017-04-27,2022-04-01
700040,416,Personal,471709.23,24.41,Active,2022-10-26,2027-05-06
700041,2114,SME,680130.59,25.92,Active,2017-04-17,2018-12-16
700042,5109,Mortgage,226408.36,20.75,Active,2015-05-19,2017-05-01
700043,4673,Mortgage,679882.82,19.08,Defaulted,2022-02-13,2028-10-23
700044,1546,SME,534332.36,17.69,Active,2021-05-23,2023-07-26
700045,830,SME,460297.58,16.69,Active,2015-07-30,2022-05-24
700046,5374,Personal,443707.18,18.83,Defaulted,2018-03-15,2019-06-17
700047,7056,Mortgage,419237.14,13.73,Active,2015-03-23,2019-12-21
700048,4598,Personal,713771.69,22.91,Active,2015-06-11,2018-01-30
700049,5289,Mortgage,305887.15,12.8,Active,2016-09-10,2020-03-24
700050,6203,Mortgage,509119.04,24.53,Closed,2019-12-31,2022-08-13
700051,2931,Personal,1068865.88,23.17,Active,2018-03-22,2023-02-04
700052,3451,Personal,231465.71,18.92,Active,2021-12-11,2026-09-30
700053,9836,Personal,1198980.04,18.14,Active,2015-12-22,2016-12-30
700054,4435,Personal,805580.02,16.61,Defaulted,2015-10-07,2021-01-28
700055,8428,Personal,1893666.39,24.93,Active,2016-06-01,2020-09-05
700056,732,Personal,178547.91,15.46,Closed,2021-08-02,2023-09-27
700057,9494,SME,1083914.45,22.25,Defaulted,2019-03-22,2021-01-24
700058,8221,Personal,756877.5,15.64,Active,2017-06-09,2023-02-23
700059,3112,Personal,261643.03,14.7,Defaulted,2020-05-18,2026-07-10
700060,4520,Personal,517450.98,20.59,Active,2021-08-03,2026-07-27
700061,1040,Personal,413432.68,25.72,Closed,2016-12-02,2022-08-28
700062,1321,Personal,796129.03,21.41,Active,2022-11-04,2026-04-02
700063,701,SME,230916.19,21.05,Active,2015-05-15,2022-01-05
700064,8077,Mortgage,456218.19,19.3,Defaulted,2015-10-22,2021-06-09
700065,3775,Personal,573760.29,17.75,Closed,2020-04-17,2023-05-16
700066,3788,SME,508613.02,15.01,Active,2019-04-08,2024-01-25
700067,5993,SME,1642735.6,26.84,Closed,2017-03-07,2021-02-26
700068,3163,SME,384225.17,19.43,Active,2021-10-06,2027-06-19
700069,8332,Personal,289769.63,17.25,Closed,2016-04-26,2019-07-27
700070,5268,Personal,48481.3,21.21,Defaulted,2022-04-17,2027-09-21
700071,2392,Personal,555072.02,26.59,Active,2018-03-29,2024-06-21
700072,7215,Mortgage,130178.3,18.46,Closed,2023-01-16,2027-05-25
700073,3133,Personal,401263.76,22.7,Closed,2022-03-06,2025-11-28
700074,1400,Personal,146215.41,20.23,Active,2017-01-14,2023-02-02
700075,844,SME,797070.6,19.81,Active,2015-04-13,2020-06-03
700076,4795,Personal,535943.8,18.63,Closed,2018-11-07,2025-04-03
700077,1762,Personal,899275.4,12.21,Active,2019-05-13,2022-10-24
700078,4761,SME,738194.85,15.1,Active,2015-05-30,2021-01-04
700079,5471,Mortgage,461995.89,21.86,Active,2022-06-07,2026-12-14
700080,8509,SME,386187.41,25.78,Active,2019-07-24,2022-01-09
700081,3789,Personal,809788.5,21.48,Active,2018-02-07,2023-12-07
700082,3367,Personal,676561.08,14.18,Active,2023-01-02,2025-08-07
700083,7920,Personal,727033.15,16.96,Active,2017-07-28,2023-12-06
700084,5967,SME,698746.13,25.28,Active,2021-09-12,2026-06-22
700085,1363,Personal,2076503.95,16.19,Active,2018-03-17,2023-01-06
700086,7420,Mortgage,215916.14,13.88,Closed,2018-03-11,2024-07-05
700087,6492,Personal,1195198.36,13.31,Closed,2017-11-21,2022-07-29
700088,3341,SME,54445.17,13.96,Active,2016-05-11,2021-06-05
700089,8139,SME,174974.03,26.64,Active,2020-02-29,2024-10-27
700090,1146,Mortgage,293888.63,17.7,Active,2017-01-20,2022-03-03
700091,7808,Personal,300059.32,17.62,Closed,2017-02-08,2018-07-02
700092,6695,Mortgage,1019673.86,21.32,Closed,2017-05-16,2021-10-22
700093,6337,Mortgage,775472.89,13.06,Closed,2018-04-20,2023-08-20
700094,6705,Mortgage,696716.85,14.92,Active,2020-05-18,2024-08-26
700095,2806,Mortgage,433185.23,12.29,Active,2020-03-31,2025-01-02
700096,2671,SME,281385.28,16.54,Closed,2022-02-17,2026-11-18
700097,2828,Personal,878346.28,12.35,Defaulted,2021-10-10,2028-04-09
700098,3201,SME,294200.67,18.72,Active,2017-09-14,2019-02-20
700099,7814,Personal,7365778.88,16.65,Active,2018-07-29,2024-11-26
700100,5523,Personal,1689239.51,14.24,Active,2016-03-23,2020-07-24
700101,9608,Personal,295312.69,21.56,Closed,2017-12-22,2021-10-17
700102,7997,SME,531394.89,17.56,Closed,2020-01-17,2024-11-03
700103,1815,Personal,413035.72,16.71,Active,2020-05-04,2024-07-02
700104,4696,Mortgage,4802793.87,16.31,Closed,2016-07-12,2019-07-12
700105,9734,SME,157572.56,26.68,Active,2019-07-01,2020-09-05
700106,2020,Personal,238686.45,13.11,Active,2022-09-21,2025-01-30
700107,9667,Mortgage,1580830.26,24.53,Active,2019-01-29,2020-08-18
700108,1661,Personal,2480734.96,19.26,Active,2018-06-22,2021-10-08
700109,1610,Personal,172352.12,26.99,Active,2021-02-19,2025-05-21
700110,9024,Personal,283065.94,17.56,Closed,2019-08-27,2023-04-15
700111,2606,Mortgage,665051.33,22.17,Active,2022-05-23,2028-03-06
700112,3510,Personal,201615.49,20.36,Active,2021-04-07,2022-04-07
700113,2784,SME,456413.0,21.23,Active,2015-12-25,2021-08-21
700114,2434,Personal,701316.58,21.72,Active,2018-02-07,2024-01-03
700115,7361,SME,372855.67,22.56,Active,2016-01-30,2021-02-11
700116,9003,Personal,209282.92,20.74,Closed,2017-03-08,2020-02-08
700117,1504,Personal,507343.83,24.08,Active,2020-05-11,2023-01-13
700118,2075,SME,394538.79,18.28,Closed,2022-01-25,2027-09-16
700119,8922,Personal,667787.58,27.74,Active,2020-02-05,2024-05-07
700120,2113,SME,566559.23,24.34,Active,2021-08-06,2025-08-12
700121,6426,Personal,257930.1,19.45,Active,2018-11-06,2023-06-11
700122,5825,Personal,130996.18,23.68,Active,2017-12-06,2023-10-28
700123,8087,Personal,110837.06,13.56,Closed,2016-08-04,2017-11-16
700124,6105,Personal,957328.27,19.24,Active,2020-01-12,2021-02-27
700125,78,Personal,145901.06,15.83,Active,2020-01-24,2025-06-09
700126,4684,Personal,349906.54,13.03,Closed,2015-09-03,2018-06-06
700127,8286,Personal,1274821.43,22.87,Active,2017-09-05,2024-05-08
700128,8366,Personal,379364.94,14.16,Active,2022-04-16,2023-04-17
700129,3647,Personal,1236849.76,19.85,Active,2018-09-30,2024-06-29
700130,6418,Personal,151343.93,23.09,Active,2016-10-30,2022-08-27
700131,7422,Mortgage,251141.85,18.86,Active,2020-04-16,2023-01-15
700132,9540,Personal,105179.6,23.93,Closed,2021-01-24,2024-01-07
700133,8976,Personal,703774.28,17.75,Active,2022-04-05,2023-09-21
700134,5371,SME,635898.18,27.83,Active,2016-05-16,2022-11-25
700135,7534,Personal,333839.87,19.44,Active,2018-08-27,2021-02-06
700136,4473,Personal,523161.41,18.85,Defaulted,2018-12-20,2025-06-24
700137,8462,Personal,170497.07,21.23,Active,2015-04-08,2017-03-25
700138,3334,Personal,601277.23,18.0,Active,2019-12-02,2021-08-23
700139,617,Mortgage,459990.24,15.16,Active,2018-08-10,2020-08-26
700140,4367,SME,807896.13,21.57,Closed,2015-02-26,2021-07-26
700141,7555,Personal,375853.16,26.87,Active,2021-10-20,2025-07-17
700142,1535,SME,49967.84,19.79,Active,2015-11-09,2019-04-11
700143,5160,Personal,129971.8,24.08,Closed,2021-04-21,2027-09-04
700144,2829,SME,423459.95,13.44,Active,2018-10-08,2025-05-04
700145,6556,Personal,495189.71,23.12,Active,2017-09-15,2020-01-02
700146,3981,SME,496453.81,27.81,Defaulted,2021-06-08,2026-02-15
700147,4191,Mortgage,234825.35,27.24,Active,2018-10-20,2021-06-06
700148,9251,Mortgage,1043930.44,20.86,Active,2016-06-01,2020-05-24
700149,9031,SME,61180.07,15.8,Defaulted,2020-08-16,2025-01-09
700150,8613,Personal,301701.86,20.55,Active,2016-04-24,2020-08-29
700151,2734,Personal,604954.07,20.33,Defaulted,2022-03-12,2027-08-12
700152,8781,SME,741744.41,18.26,Defaulted,2022-04-17,2025-04-29
700153,102,SME,496696.35,18.57,Closed,2019-04-07,2024-08-28
700154,7001,SME,9151047.8,19.99,Active,2022-09-25,2024-01-07
700155,7902,Mortgage,443027.05,24.51,Active,2021-08-31,2024-04-13
700156,6331,Mortgage,138659.31,22.04,Closed,2017-01-05,2023-03-22
700157,3587,Personal,995401.62,27.99,Active,2015-02-12,2016-08-04
700158,6009,SME,226639.66,16.97,Closed,2018-05-15,2021-08-14
700159,9747,Personal,172247.66,12.2,Closed,2022-10-24,2027-04-11
700160,7021,Personal,3582356.39,22.18,Defaulted,2021-01-23,2026-12-28
700161,9009,SME,1091437.05,25.83,Active,2020-12-02,2023-11-18
700162,8655,Personal,498347.16,25.59,Active,2023-02-09,2026-10-18
700163,5518,Personal,347174.54,18.3,Closed,2015-03-13,2020-02-03
700164,9521,Personal,427715.5,25.24,Active,2015-08-02,2022-05-14
700165,2364,Personal,50862.5,19.49,Active,2021-03-17,2026-08-27
700166,338,Personal,646323.77,14.82,Active,2018-07-11,2021-05-03
700167,6684,Personal,569252.54,22.91,Active,2021-07-27,2023-08-19
700168,4211,Mortgage,553301.42,17.29,Active,2020-01-08,2024-01-13
700169,7350,Mortgage,207354.57,25.53,Active,2018-07-28,2023-08-31
700170,8407,Mortgage,604037.74,13.48,Active,2015-10-18,2019-08-04
700171,9913,SME,525623.44,27.41,Closed,2018-10-25,2021-06-20
700172,8886,Personal,292442.92,17.62,Active,2019-03-22,2021-06-06
700173,7511,Personal,328775.16,12.82,Active,2023-01-25,2027-09-05
700174,9165,Personal,2120193.98,24.6,Active,2019-10-24,2022-05-11
700175,9674,Personal,453823.38,15.15,Defaulted,2021-11-14,2024-12-02
700176,5250,SME,165398.12,19.96,Active,2020-09-04,2025-04-22
700177,5060,SME,143560.37,25.68,Active,2020-09-26,2026-08-30
700178,3635,Personal,525909.03,19.29,Active,2020-10-31,2026-07-14
700179,7761,SME,90830.72,24.87,Active,2022-07-24,2028-05-29
700180,8615,Personal,26307.98,23.39,Active,2017-10-12,2023-04-20
700181,1171,SME,754448.09,16.45,Closed,2022-05-14,2028-10-17
700182,2355,Personal,1204447.24,27.25,Active,2018-11-26,2025-04-12
700183,6510,Personal,147519.25,25.82,Defaulted,2021-10-15,2024-03-18
700184,9090,Personal,623024.76,14.92,Active,2019-07-21,2022-03-25
700185,6490,Personal,278378.61,21.91,Closed,2020-01-23,2026-02-27
700186,8319,SME,219150.86,21.79,Active,2022-02-21,2025-01-15
700187,603,Mortgage,194384.86,24.39,Active,2021-06-16,2024-02-03
700188,2718,SME,1815376.83,15.41,Active,2022-11-28,2027-03-30
700189,5588,Personal,128423.84,21.08,Active,2017-10-06,2020-02-11
700190,2375,Personal,886341.14,25.39,Closed,2021-04-13,2024-07-15
