transaction_id,account_id,transaction_date,transaction_type,amount,channel
500001,103762,2025-01-18,Transfer,19384.76,POS
500002,101226,2023-02-16,Withdrawal,60660.8,Mobile
500003,111034,2023-03-05,Transfer,14009.3,ATM
500004,113887,2024-04-20,Deposit,97834.63,ATM
500005,109697,2022-12-26,Transfer,18237.26,POS
500006,107197,2022-09-21,Withdrawal,39677.34,Mobile
500007,112727,2023-08-31,Withdrawal,73649.52,Mobile
500008,106391,2022-05-04,Withdrawal,17268.53,ATM
500009,111732,2024-01-20,Withdrawal,14120.76,Mobile
500010,114920,2023-07-07,Withdrawal,38049.86,POS
500011,108808,2025-02-17,Transfer,30015.79,Mobile
500012,103676,2023-07-29,Deposit,4426.88,ATM
500013,109823,2023-12-29,Transfer,37793.55,Mobile
500014,114464,2022-12-16,Transfer,16747.54,Branch
500015,100702,2023-04-26,Withdrawal,39642.81,Mobile
500016,109807,2022-02-10,Deposit,13110.74,ATM
500017,109344,2024-07-05,Transfer,5246.43,POS
500018,109036,2022-08-19,Withdrawal,29558.96,Mobile
500019,102935,2024-01-23,Deposit,101960.19,Branch
500020,103875,2023-01-14,Deposit,29609.09,POS
500021,108244,2023-04-09,Transfer,25127.35,POS
500022,105445,2023-05-24,Deposit,40137.83,POS
500023,113301,2025-02-10,Transfer,20310.03,POS
500024,107937,2022-09-02,Transfer,18354.31,Branch
500025,111422,2025-01-16,Withdrawal,23590.98,Mobile
500026,100227,2022-09-21,Withdrawal,52190.84,POS
500027,110678,2022-08-22,Deposit,9231.32,Mobile
500028,113549,2022-09-17,Transfer,66016.35,ATM
500029,112867,2023-04-15,Deposit,33539.74,POS
500030,108979,2023-11-21,Withdrawal,6024.36,POS
500031,111333,2023-11-24,Deposit,19199.25,POS
500032,107237,2022-02-11,Deposit,18827.04,Mobile
500033,106440,2023-01-01,Withdrawal,5516.51,ATM
500034,110693,2024-11-19,Withdrawal,17684.76,Mobile
500035,108430,2024-01-05,Deposit,29058.66,Branch
500036,102278,2023-04-26,Transfer,42166.83,ATM
500037,112082,2022-07-23,Transfer,14263.75,Branch
500038,111908,2024-08-16,Deposit,140909.82,ATM
500039,111898,2025-02-28,Deposit,58128.5,Mobile
500040,107407,2023-10-12,Withdrawal,21065.44,Mobile
500041,109742,2024-02-15,Transfer,240901.09,POS
500042,103600,2024-04-28,Transfer,17901.27,POS
500043,110305,2025-02-08,Deposit,21373.43,Branch
500044,108458,2023-11-01,Withdrawal,31061.81,Mobile
500045,106001,2025-02-14,Transfer,38647.26,ATM
500046,112647,2022-08-19,Withdrawal,21584.26,POS
500047,113970,2023-03-24,Withdrawal,14828.12,Branch
500048,108656,2022-05-11,Deposit,29710.45,Branch
500049,106505,2023-07-25,Deposit,14109.18,Mobile
500050,113934,2023-12-17,Transfer,10156.58,POS
500051,104063,2022-04-12,Withdrawal,18543.96,Mobile
500052,106844,2023-10-17,Transfer,10987.43,POS
500053,111468,2022-09-25,Deposit,8885.98,ATM
500054,101808,2022-12-01,Withdrawal,13801.19,Mobile
500055,104568,2024-12-14,Transfer,33169.11,Mobile
500056,102240,2024-08-13,Withdrawal,47777.86,POS
500057,102492,2022-08-23,Transfer,6533.96,POS
500058,105973,2022-04-04,Transfer,17730.43,Mobile
500059,101083,2022-04-26,Withdrawal,12509.95,POS
500060,106385,2023-12-02,Withdrawal,12789.12,Mobile
500061,110615,2022-03-18,Withdrawal,371960.76,ATM
500062,112176,2024-08-21,Deposit,57164.42,ATM
500063,101881,2025-03-19,Transfer,14733.77,ATM
500064,112734,2022-03-07,Transfer,13621.22,POS
500065,111925,2022-11-25,Withdrawal,10104.54,Mobile
500066,100260,2023-02-24,Deposit,4738.02,Mobile
500067,104087,2024-08-04,Deposit,46869.83,Mobile
500068,107846,2023-02-11,Transfer,10562.01,Mobile
500069,111672,2023-05-01,Transfer,31892.64,POS
500070,107238,2025-02-28,Transfer,748.58,POS
500071,106761,2024-07-12,Transfer,18421.55,Branch
500072,101287,2024-04-29,Transfer,22617.7,POS
500073,102560,2025-03-26,Deposit,7494.28,ATM
500074,106468,2024-02-18,Transfer,28664.52,POS
500075,100420,2025-04-08,Withdrawal,68611.55,ATM
500076,111756,2023-12-18,Withdrawal,66474.52,ATM
500077,113343,2024-02-05,Transfer,79029.4,POS
500078,112249,2023-09-01,Withdrawal,37616.7,Mobile
500079,104750,2023-09-16,Transfer,10779.63,Mobile
500080,105284,2022-10-09,Deposit,82277.37,Mobile
500081,100448,2024-04-03,Deposit,14947.11,Mobile
500082,107412,2024-09-03,Transfer,9741.38,Mobile
500083,108939,2024-11-23,Deposit,8805.38,ATM
500084,103116,2025-01-18,Deposit,166950.96,POS
500085,106902,2024-12-17,Deposit,36404.81,Mobile
500086,102885,2024-01-11,Transfer,72893.44,ATM
500087,104300,2024-03-10,Deposit,8854.89,Mobile
500088,107551,2022-09-02,Transfer,9993.67,Mobile
500089,112996,2022-03-28,Transfer,21413.68,POS
500090,104894,2023-01-11,Transfer,3116.7,POS
500091,110611,2024-07-29,Transfer,4204.19,Mobile
500092,103293,2023-06-28,Transfer,46052.43,Mobile
500093,104765,2024-03-10,Transfer,5567.65,Mobile
500094,105754,2022-08-18,Transfer,33927.79,ATM
500095,102518,2025-03-26,Transfer,22523.37,POS
500096,104762,2024-04-08,Deposit,94475.75,Mobile
500097,108662,2024-12-10,Transfer,18848.46,Branch
500098,104929,2023-06-20,Deposit,5718.11,POS
500099,104705,2023-10-11,Transfer,77786.07,POS
500100,113795,2025-01-23,Transfer,8138.48,Mobile
500101,109626,2024-11-19,Transfer,23033.96,ATM
500102,100865,2023-09-24,Deposit,14460.14,Mobile
500103,112379,2023-02-05,Transfer,21882.9,POS
500104,112041,2023-07-26,Withdrawal,59787.94,POS
500105,102504,2024-06-24,Transfer,35658.91,POS
500106,113226,2023-02-07,Withdrawal,19472.91,POS
500107,107218,2023-02-26,Withdrawal,28869.5,POS
500108,107578,2022-08-13,Deposit,3212.7,POS
500109,107880,2023-06-24,Deposit,9034.96,POS
500110,109999,2022-09-21,Withdrawal,9733.58,POS
500111,106716,2023-12-09,Transfer,7416.47,Mobile
500112,108904,2023-03-15,Transfer,26122.15,Mobile
500113,106146,2024-05-20,Deposit,5961.1,POS
500114,112382,2023-05-17,Withdrawal,9090.34,ATM
500115,100940,2025-02-02,Transfer,217546.35,POS
500116,111941,2023-12-25,Deposit,24688.69,Mobile
500117,104443,2024-03-19,Withdrawal,7242.17,ATM
500118,104827,2024-04-03,Withdrawal,28621.33,ATM
500119,108182,2024-08-18,Withdrawal,59058.87,POS
500120,112873,2023-08-15,Withdrawal,21905.03,POS
500121,101142,2022-05-28,Withdrawal,159109.42,POS
500122,106365,2022-12-03,Withdrawal,17496.07,Mobile
500123,107985,2023-11-30,Transfer,10103.28,ATM
500124,103385,2023-12-08,Deposit,73410.25,ATM
500125,104864,2023-07-19,Deposit,83024.04,Branch
500126,112435,2025-03-03,Deposit,31001.01,Mobile
500127,103032,2022-08-07,Withdrawal,19900.07,POS
500128,111156,2022-09-15,Transfer,35800.97,ATM
500129,114752,2022-09-14,Transfer,15704.06,POS
500130,107871,2022-04-13,Deposit,15721.14,POS
500131,111446,2023-08-27,Deposit,29256.71,Branch
500132,101646,2023-03-26,Withdrawal,13126.75,Mobile
500133,111136,2022-11-28,Transfer,36855.24,POS
500134,112537,2024-03-16,Withdrawal,13297.81,Branch
500135,106842,2024-02-15,Withdrawal,198893.11,ATM
500136,114717,2022-03-27,Transfer,18617.38,ATM
500137,107331,2022-03-09,Transfer,7923.92,Branch
500138,104915,2022-05-23,Transfer,17356.11,ATM
500139,105508,2024-09-16,Deposit,26394.44,POS
500140,113837,2024-07-16,Withdrawal,40349.29,POS
500141,110693,2024-05-04,Transfer,2475.6,Branch
500142,102725,2024-06-30,Deposit,15511.38,POS
500143,108639,2024-05-11,Transfer,1575.52,ATM
